,overall_acc,bal_acc,avg_odds_diff,disp_imp,stat_par_diff,eq_opp_diff,theil_ind,fitness_rule,method,method+fitness_rule
0,0.8506357103372029,0.7741266047862296,0.02456919934436542,0.4005845193671423,0.1550678579085647,0.009686938881357077,0.11877226321160071,No optimization,fair_mlp,fair_mlp+No optimization
1,0.7970149253731343,0.5955399611277494,0.13352786313166973,1.1359267549600478,0.0068751612528117,0.2561540456346406,0.22371207818396927,smooth_parity,fair_mlp,fair_mlp+smooth_parity
2,0.8442233278054173,0.7358498471713409,0.025586523145461545,0.47016832156200405,0.10565908793592768,0.08001982687592113,0.14097166758488391,smooth_odds,fair_mlp,fair_mlp+smooth_odds
3,0.8489773355444997,0.7674802085278772,0.059102265767492584,0.34703159476955714,0.16713382666094936,0.0519093215860188,0.12259496865525256,smooth_opportunity,fair_mlp,fair_mlp+smooth_opportunity
3,0.8259812050856827,0.680646652519844,0.17345698023872108,0.925896956640775,0.009090392937402478,0.32696133633633634,0.17407848473190682,linear_parity,fair_mlp,fair_mlp+linear_parity
5,0.8453289110005527,0.7865200149310146,0.014040053123004687,0.43385322858638814,0.16562706102609911,0.042684872372372396,0.11136667439283675,linear_odds,fair_mlp,fair_mlp+linear_odds
6,0.8487562189054726,0.7871706981974564,0.01998009884544573,0.4167414656688626,0.16758441063189655,0.03079485735735732,0.11136498690499654,linear_opportunity,fair_mlp,fair_mlp+linear_opportunity
