,dataset,method,fitness_rule,fitness,ACC,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff
96,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.375283061014883,0.8360420121614152,0.5366619755910431,0.0937602777324495,0.16137891457616,0.1267322487949573
97,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.4594745730754141,0.8348258706467662,0.5243449198493223,0.0648703467739081,0.1594455392769559,0.0637159749285047
98,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.4292679800457213,0.8284134881149806,0.5042935930023688,0.072282250882673,0.1493065454709865,0.0750256129566474
99,adult_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.7509121061359867,0.7509121061359867,0.0,0.0,0.0,0.0
100,adult_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.7581217693536773,0.8308457711442786,0.5057454015430486,0.0727240017906013,0.1515739051858484,0.0756171700017229
101,adult_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.751354339414041,0.751354339414041,0.0,0.0,0.0,0.0
102,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3428301233784212,0.8952115447687766,0.4288994012134379,0.0654225522632652,0.0860692778350167,0.1102200424178154
103,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.376639295125396,0.8909478517546736,0.4026910437381202,0.0260517486127242,0.0506009947499309,0.0326816363401729
104,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.4187531874783191,0.8924237454903247,0.4205623236158134,0.0155503605713074,0.0586177856803071,0.0018091361374943
105,bank_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.8495876530420373,0.8983273204329288,0.4102235412529609,0.0311518730042067,0.0487396673908915,0.0343243724408047
106,bank_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.8811042899680829,0.8960314857330273,0.4265729288559107,0.0149271957649443,0.0513369190323436,0.012295081967213
107,bank_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.8844590504494247,0.892915710068875,0.4258891282640564,0.0140622710652444,0.0638657025754466,0.0084566596194503
108,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.1310995861302888,0.6474878444084279,0.2912896782961873,0.1122773254252827,0.1601900921658985,0.1343907164243361
109,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.2169839818835524,0.6807131280388979,0.3474483253096659,0.1304643434261135,0.1517082669499027,0.0418215613382899
110,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.2901924313643451,0.6661264181523501,0.3229214968983256,0.0989687769963276,0.1236302580417109,0.0327290655339805
111,compas_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.458022630167233,0.653160453808752,0.301971465205523,0.1845795910333713,0.195137823641519,0.1478421877225466
112,compas_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.4943951097066592,0.6572123176661264,0.3074572185625919,0.1628172079594671,0.177055186626975,0.1525548292267822
113,compas_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.5522609583800082,0.6628849270664505,0.3179420213150507,0.1241535531847899,0.1543257278197037,0.1106239686864423
114,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3537681244544688,0.8276395798783859,0.4963545687459254,0.0926112078252656,0.1425864442914566,0.1313383938104222
115,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.4235077948124217,0.8360420121614152,0.513758081340546,0.0902502865281242,0.1457764276159274,0.125666163901458
116,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.451172811099898,0.8135986733001659,0.5607153811062676,0.1440486440076527,0.2756034590408203,0.1095425700063695
117,adult_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.7492794680495828,0.7550027639579878,0.1251159132553709,0.0052283140901793,0.005723295908405,0.0104566281803587
118,adult_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.7441680486456606,0.7441680486456606,0.0,0.0,0.0,0.0
119,adult_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.5395477605769918,0.5688225538971807,0.3803608085791456,0.1635815193821675,0.3209069291506924,0.0292747933201888
120,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3619631960257364,0.8934076746474254,0.4138788830489473,0.0206648626063817,0.0519156870232108,0.0127070746443188
121,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.3325754075528171,0.8858642177763201,0.3981588295746813,0.0655834220218642,0.093260037405394,0.0943722943722943
122,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.3996585378093572,0.8953755329616268,0.423473079432118,0.0161479188525675,0.0191836053613976,0.0238145416227608
123,bank_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.8351746286897742,0.8973433912758282,0.4328808829580485,0.0249409965130044,0.0621687625860539,0.0150985474052197
124,bank_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.814875670742418,0.8950475565759265,0.4393819177298133,0.0801718858335085,0.0927553267728234,0.1482326855354114
125,bank_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.8439851118598249,0.8970154148901279,0.4254848058926219,0.0423536282649118,0.0792918867583922,0.053030303030303
126,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.1690324299471034,0.6021069692058347,0.2454228061875546,0.0695237871535773,0.0763903762404512,0.0218840693387716
127,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.126299869799969,0.6499189627228525,0.2909049939720185,0.1646051241720495,0.1647085483196206,0.0660890967265567
