,overall_acc,bal_acc,avg_odds_diff,disp_imp,stat_par_diff,eq_opp_diff,theil_ind,fitness,fitness_rule,method
0,0.852294085129906,0.7742690196891937,0.04153750224305995,0.3925899546730367,0.15740227237098586,0.018194656052273328,0.11895182776026157,0.6948918127589201,linear_parity,Simple MLP (baseline)
1,0.8235489220563847,0.7352379080543137,0.1479808261827078,0.9323526164716273,0.014338364338364357,0.24548421812370314,0.1374835139697607,0.8092105577180204,linear_parity,Prejudice Remover
2,0.8353786622443339,0.7159493561489931,0.053923123169745964,0.3131381255585344,0.1359898118016431,0.06274083557268162,0.15392315974085474,0.6993888504426908,linear_parity,Meta Fair Classifier
3,0.8174682144831399,0.6796549561887554,0.19901479437651212,1.1460715135109794,0.018899708783234298,0.3491853156033298,0.17428718238840812,0.7985685056999056,linear_parity,Fair Transition Loss
4,0.8391376451077943,0.7436738403922905,0.09616062989730825,0.32996767449759695,0.16291542834822836,0.12715566341439255,0.13176411161041335,0.7429770152104861,linear_odds,Simple MLP (baseline)
5,0.8375898286346047,0.7464625552575086,0.03819789397129837,0.5635335206907788,0.09967746586300555,0.09854903547652782,0.13316387484725778,0.7993919346633064,linear_odds,Prejudice Remover
6,0.8379215035931454,0.7282576111341512,0.06400801611574139,0.31050228310502287,0.14803921568627448,0.07151515151515153,0.14621276861390461,0.7739134874774041,linear_odds,Meta Fair Classifier
7,0.8315091210613599,0.7854712404712405,0.019706326050202533,0.5317071846568829,0.14599130220990145,0.09078973760507647,0.1088012666151678,0.8118027950111574,linear_odds,Fair Transition Loss
8,0.8455500276395799,0.7694929095877028,0.10384787381572089,0.28626329821364405,0.19817570444617064,0.12258022106285893,0.1220751886820633,0.7229698065767209,linear_opportunity,Simple MLP (baseline)
9,0.84212271973466,0.753863035044719,0.004285537647436045,0.434716661669518,0.13531206167436888,0.03979865229445623,0.13214264061318928,0.8023240674402038,linear_opportunity,Prejudice Remover
10,0.7892758430071863,0.805455204454842,0.17146193537353682,0.3713953903877077,0.296415181768398,0.14170976657636214,0.08647373753859859,0.6475660764308242,linear_opportunity,Meta Fair Classifier
11,0.8436705362078496,0.7769047721346205,0.049891764303898564,0.4044989038687608,0.16854912681426593,0.028779376371210308,0.11540287286038016,0.8148911598366393,linear_opportunity,Fair Transition Loss
