,overall_acc,bal_acc,avg_odds_diff,disp_imp,stat_par_diff,eq_opp_diff,theil_ind,acc_parity,acc_odds,acc_opportunity,d_0,p_0,d_1,p_1
0,0.87893864013267,0.7808762331665375,0.012144671554334876,0.3639199289769707,0.13286076750538542,0.01176253352856571,0.11225817119091747,0.7460778726272845,0.8667939685783351,0.8671761066041043,0.0,0.0,0.0,0.0
1,0.881370923161968,0.8588169822534868,0.11226679081365441,0.27531151343321475,0.2603226652009569,0.09614936337233115,0.07143794214404228,0.621048257961011,0.7691041323483135,0.7852215597896368,0.0,0.0,0.0,0.1
2,0.8902155887230514,0.8287653675565374,0.013530455309586596,0.449062071463686,0.14154531760814393,0.06475443771671063,0.08646103039421527,0.7486702711149075,0.8766851334134648,0.8254611510063408,0.0,0.0,0.0,0.2
3,0.9013819789939193,0.8524467491118829,0.04765190684895716,0.3200240644129463,0.19834025076395612,0.035589661498018677,0.07830046961783224,0.7030417282299631,0.8537300721449621,0.8657923174959006,0.0,0.0,0.1,0.0
4,0.889110005527916,0.8391991015399303,0.12534019641090904,0.24708805465592615,0.2283522050660563,0.16746285192909272,0.08357083573716466,0.6607578004618597,0.7637698091170069,0.7216471535988233,0.0,0.0,0.1,0.1
5,0.892758430071863,0.8432575153350264,0.06821689989416725,0.3167855085840279,0.20048904512749804,0.0660641191874507,0.08062169464448578,0.6922693849443649,0.8245415301776957,0.8266943108844123,0.0,0.0,0.1,0.2
6,0.8947484798231067,0.8285637291682078,0.07943699684959188,0.2872896813090351,0.188692977817362,0.10646782944548328,0.0903012776756774,0.7060555020057446,0.8153114829735149,0.7882806503776234,0.0,0.0,0.2,0.0
7,0.891763405196241,0.821820792871663,0.0739617338425842,0.3122869731482251,0.17553631676109235,0.09909801618336689,0.0933267464865507,0.7162270884351486,0.8178016713536568,0.7926653890128741,0.0,0.0,0.2,0.1
8,0.8905472636815921,0.8482068532810553,0.11637368698073455,0.2518974313863476,0.23861367526163688,0.1413054665789203,0.08008341537996352,0.6519335884199552,0.7741735767008575,0.7492417971026718,0.0,0.0,0.2,0.2
9,0.8784964068546158,0.8341289901874298,0.1131328171257594,0.2804171851835252,0.22748637527905036,0.11906115754120128,0.08409015202471447,0.6510100315755655,0.7653635897288564,0.7594352493134146,0.0,0.1,0.0,0.0
10,0.8970702045328911,0.8696381646515515,0.010396950179963158,0.38578466159515573,0.19733786328288605,0.05517528975295505,0.06702338670716357,0.699732341250005,0.886673254352928,0.841894914779936,0.0,0.1,0.0,0.1
11,0.8908789386401327,0.8578823281547634,0.02271344228545008,0.3868083086834746,0.1936816480493484,0.032411067193675924,0.07288230921634228,0.6971972905907843,0.8681654963546825,0.8584678714464568,0.0,0.1,0.0,0.2
12,0.8857932559425097,0.8513288683667777,0.1179285384062349,0.2665299507940717,0.2430099557660348,0.12253253167411471,0.07561049462062357,0.6427833001764749,0.7678647175362747,0.763260724268395,0.0,0.1,0.1,0.0
13,0.8987285793255942,0.8725193565666238,0.0782654539037692,0.31029883835926686,0.233334552551141,0.06950550213329143,0.06618064619424695,0.6653940267744533,0.8204631254218251,0.8292230771923028,0.0,0.1,0.1,0.1
14,0.8935323383084577,0.8647791691120047,0.10808289348480288,0.29527264498191913,0.23737819102349872,0.11055617457924605,0.0696175066323804,0.656154147284959,0.7854494448236549,0.7829761637292116,0.0,0.1,0.1,0.2
15,0.8761746821448314,0.8540543793237254,0.16767302873958462,0.2310017512818661,0.2853728992300415,0.195957420566777,0.07445905832561008,0.5908017829147899,0.7085016534052468,0.6802172615780544,0.0,0.1,0.2,0.0
16,0.885240464344942,0.8311154459621605,0.08814872482260433,0.27150050352467275,0.2161719574110763,0.09352455593742981,0.08786199732681807,0.6690685069338657,0.7970917395223376,0.7917159084075122,0.0,0.1,0.2,0.1
17,0.8907683803206191,0.8656283846433546,0.1570571833797375,0.23625593141225046,0.2736791368560501,0.20215854894111251,0.0699357448961712,0.617089243464569,0.7337111969408816,0.6886098313795066,0.0,0.1,0.2,0.2
18,0.8756218905472637,0.8701270888546762,0.14889917258355606,0.2461669505962521,0.30153321976149916,0.14358786993058092,0.06442287159535584,0.5740886707857645,0.7267227179637077,0.7320340206166828,0.0,0.2,0.0,0.0
19,0.8805970149253731,0.8744444920810761,0.12927122888835788,0.2649401159054343,0.28928240429589036,0.11003319396125244,0.06287422158907867,0.5913146106294828,0.7513257860370153,0.7705638209641207,0.0,0.2,0.0,0.1
20,0.8851299060254284,0.8460970873607371,0.023336127326588393,0.356316363551417,0.2007907092032964,0.03446764910338651,0.07915170643987023,0.684339196822132,0.86179377869884,0.8506622569220419,0.0,0.2,0.0,0.2
21,0.887893864013267,0.8672297887427919,0.15278025248817834,0.21992839095187347,0.287589288079324,0.1674905569498314,0.06820195926332488,0.6003045759339429,0.7351136115250887,0.7204033070634356,0.0,0.2,0.1,0.0
22,0.8849087893864013,0.8476359565967201,0.08140539947868236,0.3324915756738493,0.21219603963654668,0.07259193252264218,0.07793458342292815,0.6727127497498546,0.8035033899077189,0.8123168568637591,0.0,0.2,0.1,0.1
23,0.8993919292426755,0.8633612115425231,0.057155890953338326,0.3231304943128171,0.2135061610016093,0.03391637199242192,0.07023560327922332,0.6858857682410662,0.8422360382893372,0.8654755572502536,0.0,0.2,0.1,0.2
24,0.881370923161968,0.8712800369776095,0.2261827405179006,0.18404963863096327,0.3293236689358068,0.280217251358197,0.06487068786882882,0.5520472542261612,0.6551881826440673,0.601153671803771,0.0,0.2,0.2,0.0
