,overall_acc,bal_acc,avg_odds_diff,disp_imp,stat_par_diff,eq_opp_diff,theil_ind,method
0,0.8464344941956883,0.7605185572465695,0.08672834731066456,0.29203284367181986,0.18334833109520576,0.09937651447085416,0.12537612731568865,MLP (baseline)
0,0.8416804864566059,0.7506489883919241,0.0758851993708008,0.311100757134537,0.17194107956197308,0.08020348075900541,0.13237758800642063,Meta Fair Classifier
1,0.8407960199004975,0.7490010885639973,0.04477122774451931,0.5648823725660674,0.09681844235577189,0.11437807473878525,0.13490680099519475,Prejudice Remover
2,0.8391376451077943,0.715515064803905,0.03958620384934547,0.36412245942725363,0.11470041346163114,0.05052787006275378,0.15580397711434693,Fair Transition Loss
